iter	Passed	Remaining
0	8	8465
1	15	7494
2	21	7131
3	29	7245
4	34	6806
5	41	6917
6	47	6712
7	52	6495
8	62	6853
9	67	6705
10	76	6865
11	82	6776
12	90	6860
13	96	6809
14	102	6754
15	110	6788
16	116	6738
17	125	6839
18	131	6797
19	141	6944
20	148	6903
21	158	7047
22	164	6998
23	175	7150
24	182	7114
25	191	7184
26	198	7142
27	207	7213
28	213	7155
29	223	7224
30	229	7183
31	238	7220
32	244	7171
33	249	7099
34	255	7046
35	260	6980
36	264	6892
37	273	6930
38	279	6880
39	286	6885
40	294	6888
41	300	6853
42	305	6808
43	315	6845
44	320	6810
45	325	6754
46	329	6685
47	336	6679
48	342	6640
49	351	6675
50	357	6645
51	362	6605
52	369	6607
53	376	6587
54	386	6636
55	389	6573
56	395	6544
57	405	6590
58	411	6560
59	420	6585
60	425	6556
61	434	6576
62	440	6551
63	448	6553
64	454	6542
65	460	6510
66	468	6526
67	474	6505
68	483	6522
69	489	6507
70	498	6518
71	504	6505
72	511	6494
73	518	6486
74	523	6454
75	531	6462
76	537	6437
77	542	6411
78	550	6417
79	556	6399
80	564	6402
81	569	6380
82	575	6353
83	581	6342
84	586	6312
85	591	6281
86	597	6274
87	602	6245
88	609	6242
89	615	6224
90	619	6190
91	627	6190
92	632	6167
93	636	6136
94	643	6134
95	649	6112
96	653	6081
97	661	6087
98	666	6069
99	674	6071
100	681	6068
101	687	6051
102	694	6044
103	700	6035
104	708	6038
105	713	6020
106	719	6001
107	726	6001
108	731	5981
109	735	5953
110	743	5955
111	748	5932
112	752	5905
113	760	5908
114	765	5887
115	769	5860
116	777	5866
117	782	5848
118	789	5846
119	795	5832
120	799	5807
121	808	5821
122	814	5808
123	823	5816
124	830	5810
125	835	5798
126	843	5799
127	849	5787
128	858	5794
129	864	5782
130	872	5786
131	878	5774
132	884	5768
133	890	5756
134	895	5740
135	903	5742
136	909	5730
137	915	5716
138	922	5714
139	927	5699
140	934	5690
141	940	5684
142	946	5673
143	954	5671
144	960	5664
145	968	5662
146	973	5650
147	979	5639
148	986	5635
149	992	5625
150	997	5610
151	1004	5602
152	1011	5597
153	1018	5597
154	1025	5592
155	1034	5595
156	1039	5582
157	1044	5567
158	1051	5561
159	1058	5557
160	1066	5557
161	1073	5551
162	1082	5558
163	1089	5553
164	1096	5549
165	1103	5543
166	1109	5535
167	1117	5535
168	1124	5530
169	1132	5528
170	1139	5521
171	1146	5519
172	1152	5510
173	1158	5500
174	1166	5498
175	1172	5488
176	1179	5483
177	1184	5467
178	1191	5466
179	1196	5452
180	1202	5439
181	1207	5427
182	1212	5412
183	1217	5397
184	1223	5389
185	1227	5373
186	1232	5358
187	1238	5347
188	1242	5331
189	1246	5315
190	1254	5313
191	1260	5304
192	1266	5294
193	1271	5284
194	1278	5278
195	1285	5273
196	1292	5266
197	1299	5261
198	1306	5257
199	1312	5249
200	1320	5248
